Subject Label,Subject URI,Predicate Label,Predicate URI,Predicate Symmetry,Object Label,Object URI,Context
Khah F.S.,http://lab3sdm/Khah F.S.,writes,writes,Assymetric,Development and testing of an innovative architectural programming simulation as a precursor to target value design,http://lab3sdm/Development and testing of an innovative architectural programming simulation as a precursor to target value design,
 Rybkowski Z.K.,http://lab3sdm/Rybkowski Z.K.,writes,writes,Assymetric,Development and testing of an innovative architectural programming simulation as a precursor to target value design,http://lab3sdm/Development and testing of an innovative architectural programming simulation as a precursor to target value design,
 Ray Pentecost A.,http://lab3sdm/Ray Pentecost A.,writes,writes,Assymetric,Development and testing of an innovative architectural programming simulation as a precursor to target value design,http://lab3sdm/Development and testing of an innovative architectural programming simulation as a precursor to target value design,
 Smith J.P.,http://lab3sdm/Smith J.P.,writes,writes,Assymetric,Development and testing of an innovative architectural programming simulation as a precursor to target value design,http://lab3sdm/Development and testing of an innovative architectural programming simulation as a precursor to target value design,
 Muir R.,http://lab3sdm/Muir R.,writes,writes,Assymetric,Development and testing of an innovative architectural programming simulation as a precursor to target value design,http://lab3sdm/Development and testing of an innovative architectural programming simulation as a precursor to target value design,
Nielsen J.,http://lab3sdm/Nielsen J.,writes,writes,Assymetric,Relative target estimation using a cascade of extended Kalman filters,http://lab3sdm/Relative target estimation using a cascade of extended Kalman filters,
 Beard R.W.,http://lab3sdm/Beard R.W.,writes,writes,Assymetric,Relative target estimation using a cascade of extended Kalman filters,http://lab3sdm/Relative target estimation using a cascade of extended Kalman filters,
Jensen D.W.,http://lab3sdm/Jensen D.W.,writes,writes,Assymetric,Pull-out strength of fiberglass/epoxy composite rebar manufactured using a three-dimensional braiding process,http://lab3sdm/Pull-out strength of fiberglass/epoxy composite rebar manufactured using a three-dimensional braiding process,
 Machanzi T.,http://lab3sdm/Machanzi T.,writes,writes,Assymetric,Pull-out strength of fiberglass/epoxy composite rebar manufactured using a three-dimensional braiding process,http://lab3sdm/Pull-out strength of fiberglass/epoxy composite rebar manufactured using a three-dimensional braiding process,
Francis B.L.,http://lab3sdm/Francis B.L.,writes,writes,Assymetric,Network Reduction in Transient Stability Models using Partial Response Matching,http://lab3sdm/Network Reduction in Transient Stability Models using Partial Response Matching,
 Nuttall J.R.,http://lab3sdm/Nuttall J.R.,writes,writes,Assymetric,Network Reduction in Transient Stability Models using Partial Response Matching,http://lab3sdm/Network Reduction in Transient Stability Models using Partial Response Matching,
 Transtrum M.K.,http://lab3sdm/Transtrum M.K.,writes,writes,Assymetric,Network Reduction in Transient Stability Models using Partial Response Matching,http://lab3sdm/Network Reduction in Transient Stability Models using Partial Response Matching,
 Saric A.T.,http://lab3sdm/Saric A.T.,writes,writes,Assymetric,Network Reduction in Transient Stability Models using Partial Response Matching,http://lab3sdm/Network Reduction in Transient Stability Models using Partial Response Matching,
 Stankovic A.M.,http://lab3sdm/Stankovic A.M.,writes,writes,Assymetric,Network Reduction in Transient Stability Models using Partial Response Matching,http://lab3sdm/Network Reduction in Transient Stability Models using Partial Response Matching,
Svenda V.G.,http://lab3sdm/Svenda V.G.,writes,writes,Assymetric,Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,http://lab3sdm/Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,
